bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,method,method_label,source_file
7,0.7000000000000001,0.8,5,0.7588215902583928,1.0,0.2411784097416072,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
8,0.8,0.9,1,0.8490365925504283,1.0,0.1509634074495717,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
9,0.9,1.0,4,0.9672415163790602,1.0,0.032758483620939804,BCI IIIa,k6b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
3,0.30000000000000004,0.4,3,0.3664998759796199,0.6666666666666666,0.3001667906870467,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
4,0.4,0.5,6,0.4598905400999655,0.3333333333333333,0.12655720676663218,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
5,0.5,0.6000000000000001,11,0.5505111145880576,0.5454545454545454,0.0050565691335121565,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,7,0.6551044798506894,0.7142857142857143,0.059181234435024876,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
7,0.7000000000000001,0.8,9,0.7429484944237859,1.0,0.25705150557621415,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
8,0.8,0.9,3,0.8462238834876595,1.0,0.15377611651234047,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
9,0.9,1.0,3,0.9696396219514368,1.0,0.030360378048563175,BCI IIIa,l1b,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
3,0.30000000000000004,0.4,1,0.36350222609559685,1.0,0.6364977739044031,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
4,0.4,0.5,1,0.4429053711643552,0.0,0.4429053711643552,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
5,0.5,0.6000000000000001,2,0.5413460163579984,0.0,0.5413460163579984,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,2,0.6632281886651037,1.0,0.3367718113348963,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
