dataset,method,method_label,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
BCI IV-2a,augmentation,Augmentation,7,0.7000000000000001,0.8,309,0.7497277975801454,0.7249190938511327,0.02480870372901267
BCI IV-2a,augmentation,Augmentation,8,0.8,0.9,342,0.8500532984262095,0.8128654970760234,0.03718780135018607
BCI IV-2a,augmentation,Augmentation,9,0.9,1.0,896,0.9741388514694375,0.9308035714285714,0.043335280040866064
BCI IV-2a,baseline,Baseline,2,0.2,0.30000000000000004,2,0.2829948726908928,0.0,0.2829948726908928
BCI IV-2a,baseline,Baseline,3,0.30000000000000004,0.4,109,0.3655575272171378,0.29357798165137616,0.07197954556576164
BCI IV-2a,baseline,Baseline,4,0.4,0.5,309,0.4517272308920708,0.4045307443365696,0.04719648655550118
BCI IV-2a,baseline,Baseline,5,0.5,0.6000000000000001,385,0.5486379874172119,0.509090909090909,0.03954707832630289
BCI IV-2a,baseline,Baseline,6,0.6000000000000001,0.7000000000000001,342,0.6500833848173972,0.631578947368421,0.01850443744897623
BCI IV-2a,baseline,Baseline,7,0.7000000000000001,0.8,307,0.7494492772766438,0.7198697068403909,0.029579570436252922
BCI IV-2a,baseline,Baseline,8,0.8,0.9,346,0.8514235033928207,0.8092485549132948,0.04217494847952585
BCI IV-2a,baseline,Baseline,9,0.9,1.0,768,0.9725833746232319,0.9322916666666666,0.040291707956565226
BCI IV-2a,seed_ensemble,Seed ensemble,2,0.2,0.30000000000000004,3,0.29500906523601533,0.3333333333333333,0.03832426809731798
BCI IV-2a,seed_ensemble,Seed ensemble,3,0.30000000000000004,0.4,133,0.36532688567779686,0.3609022556390977,0.00442463003869914
BCI IV-2a,seed_ensemble,Seed ensemble,4,0.4,0.5,264,0.4530463725225841,0.4015151515151515,0.051531221007432626
BCI IV-2a,seed_ensemble,Seed ensemble,5,0.5,0.6000000000000001,315,0.5480775992751472,0.5301587301587302,0.017918869116417047
BCI IV-2a,seed_ensemble,Seed ensemble,6,0.6000000000000001,0.7000000000000001,279,0.6494219916826223,0.5304659498207885,0.11895604186183373
BCI IV-2a,seed_ensemble,Seed ensemble,7,0.7000000000000001,0.8,305,0.7501708233688799,0.7475409836065574,0.00262983976232245
BCI IV-2a,seed_ensemble,Seed ensemble,8,0.8,0.9,350,0.8523892227122478,0.8228571428571428,0.029532079855104976
