dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier,method,method_label,source_file
BCI IV-2a,9,seed_ensemble,264,0.7954545454545454,0.7683260727363123,0.06191081814911068,0.2954976458545958,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject9_probabilities.npz
BCI IV-2a,1,teacher_student_mixture,288,0.8472222222222222,0.7985317225979783,0.04869049962424383,0.2442053933813819,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,2,teacher_student_mixture,288,0.5555555555555556,0.4087998698212009,0.1477484101637661,0.6091261692410175,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject2_probabilities.npz
BCI IV-2a,3,teacher_student_mixture,288,0.9305555555555556,0.8127368128564187,0.12444192778973526,0.13243234938498383,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject3_probabilities.npz
BCI IV-2a,4,teacher_student_mixture,288,0.6840277777777778,0.6798716375741758,0.03213915259897923,0.4027517555959088,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject4_probabilities.npz
BCI IV-2a,5,teacher_student_mixture,288,0.5555555555555556,0.5944825251358395,0.03985578228438968,0.5721773120892952,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject5_probabilities.npz
BCI IV-2a,6,teacher_student_mixture,288,0.4861111111111111,0.5790044777784037,0.09682134758180519,0.6189625591267843,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject6_probabilities.npz
BCI IV-2a,7,teacher_student_mixture,288,0.7465277777777778,0.7783088979202462,0.04095326622700855,0.33821541051918813,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject7_probabilities.npz
BCI IV-2a,8,teacher_student_mixture,288,0.8020833333333334,0.7453656875666458,0.08234498001353384,0.3275966899355047,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject8_probabilities.npz
BCI IV-2a,9,teacher_student_mixture,264,0.7689393939393939,0.6981022020972752,0.0936381631840508,0.33675908152783646,teacher_student_mixture,Teacher/student,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject9_probabilities.npz
BNCI2014_001,1,augmentation,288,0.7708333333333334,0.8421335749471053,0.07130024161377208,0.300158962353804,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject1_probabilities.npz
BNCI2014_001,2,augmentation,288,0.46875,0.693749486534589,0.22620589677456085,0.7229830941254186,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject2_probabilities.npz
BNCI2014_001,3,augmentation,288,0.8263888888888888,0.775354569780908,0.051073395429946496,0.2307368662121528,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject3_probabilities.npz
BNCI2014_001,4,augmentation,288,0.6736111111111112,0.684470472292649,0.06287678224220038,0.44805595290723865,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject4_probabilities.npz
BNCI2014_001,5,augmentation,288,0.4201388888888889,0.4181091809631862,0.08195759131879386,0.6786258274887604,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject5_probabilities.npz
BNCI2014_001,6,augmentation,288,0.5277777777777778,0.4648236057101525,0.08521220786533495,0.603769721872934,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject6_probabilities.npz
BNCI2014_001,7,augmentation,288,0.8055555555555556,0.7471464228746589,0.0726422147911104,0.28870599388946755,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject7_probabilities.npz
BNCI2014_001,8,augmentation,288,0.8263888888888888,0.7475411923350792,0.08383924307072614,0.24828140442392468,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject8_probabilities.npz
BNCI2014_001,9,augmentation,288,0.7881944444444444,0.672636088658316,0.122531440080279,0.3270803666290161,augmentation,Augmentation,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject9_probabilities.npz
BNCI2014_001,1,baseline,288,0.8055555555555556,0.8053585064972916,0.04272934599683828,0.2691424312604201,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject1_probabilities.npz
BNCI2014_001,2,baseline,288,0.4756944444444444,0.6483449782534892,0.18424384935340632,0.7021799023339962,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject2_probabilities.npz
BNCI2014_001,3,baseline,288,0.8645833333333334,0.794909844099798,0.06967348923353535,0.1948154959450745,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject3_probabilities.npz
BNCI2014_001,4,baseline,288,0.6736111111111112,0.684470472292649,0.06287678224220038,0.44805595290723865,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject4_probabilities.npz
