dataset,method,method_label,metric,n,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,wins,ties,losses
BCI IIIa,augmentation,Augmentation,Brier,3,-0.033697640377009265,-0.03641229693829767,-0.05341449917647301,-0.011266125016257122,0.25,3,0,0
BCI IIIa,augmentation,Augmentation,accuracy,3,0.026455026455026436,0.031746031746031744,-0.023809523809523836,0.0714285714285714,0.5,2,0,1
BCI IIIa,augmentation,Augmentation,ECE,3,0.004044947914408792,0.005665880239378196,-0.07784452225748181,0.08431348576132998,0.75,1,0,2
BCI IIIa,augmentation,Augmentation,NLL,3,0.10792309811111385,-0.08075104697442348,-0.08857852337034833,0.49309886467811337,1.0,2,0,1
BCI IIIa,teacher_student_mixture,Teacher/student,Brier,3,-0.0355560745621629,-0.04535691966618938,-0.051718838971444414,-0.009592465048854915,0.25,3,0,0
BCI IIIa,teacher_student_mixture,Teacher/student,accuracy,3,0.031746031746031744,0.0,0.0,0.09523809523809523,1.0,1,2,0
BCI IIIa,teacher_student_mixture,Teacher/student,ECE,3,0.013149107103757806,-0.0008310686962923058,-0.010432232503160582,0.050710622510726305,1.0,2,0,1
BCI IIIa,teacher_student_mixture,Teacher/student,NLL,3,-0.07355149084899214,-0.06947768975580915,-0.12362435992713527,-0.027552422864031978,0.25,3,0,0
BNCI2014_001,seed_ensemble,Seed ensemble,Brier,9,0.0005308518423253287,-0.01091127667438041,-0.0164866834911175,0.01884918822618195,0.734375,6,0,3
BNCI2014_001,seed_ensemble,Seed ensemble,accuracy,9,-0.007716049382716059,-0.00347222222222221,-0.025462962962962972,0.009259259259259238,0.5703125,3,0,6
BNCI2014_001,seed_ensemble,Seed ensemble,ECE,9,-0.0036038267097668547,-0.005340702583904108,-0.013219240942693009,0.004960375165896023,0.49609375,5,0,4
BNCI2014_001,seed_ensemble,Seed ensemble,NLL,9,-0.0016114373196384141,-0.021243553004326454,-0.03087426168000469,0.0310305706595844,0.734375,5,0,4
BNCI2014_001,augmentation,Augmentation,Brier,9,0.007013291746443603,0.0,-0.00537088195284457,0.01949114741972136,0.21875,3,2,4
BNCI2014_001,augmentation,Augmentation,accuracy,9,-0.00424382716049383,0.0,-0.020061728395061738,0.011959876543209883,0.6875,3,2,4
BNCI2014_001,augmentation,Augmentation,ECE,9,0.0019560448570421626,0.0,-0.008195691306052126,0.014444053352821966,0.9375,4,2,3
BNCI2014_001,augmentation,Augmentation,NLL,9,0.020459084057705294,0.0,-0.006595729064225835,0.05207893307263429,0.375,3,2,4
BNCI2014_001,teacher_student_mixture,Teacher/student,Brier,9,0.00665734727623305,0.005397438077809347,-0.029434822649217856,0.04532333458993988,0.49609375,3,0,6
BNCI2014_001,teacher_student_mixture,Teacher/student,accuracy,9,-0.012731481481481474,0.01041666666666663,-0.05594135802469133,0.01581790123456793,1.0,5,0,4
BNCI2014_001,teacher_student_mixture,Teacher/student,ECE,9,1.8812927977134173e-05,0.0006912996852858899,-0.028243325910976072,0.026905782635711386,0.91015625,4,0,5
BNCI2014_001,teacher_student_mixture,Teacher/student,NLL,9,-0.01688199330446121,0.006490993511183096,-0.11962554808394296,0.06526021197364609,0.8203125,3,0,6
BNCI2014_004,seed_ensemble,Seed ensemble,Brier,9,0.0012167086310815233,-0.0003936769159131326,-0.010220409005039123,0.016138796547102492,0.65234375,6,0,3
BNCI2014_004,seed_ensemble,Seed ensemble,accuracy,9,-4.9603174603205266e-05,0.0,-0.010416666666666704,0.008680555555555493,0.84375,4,1,4
BNCI2014_004,seed_ensemble,Seed ensemble,ECE,9,-0.004852617173231821,-0.010785175261281102,-0.01603795855920138,0.008557186245577511,0.49609375,7,0,2
BNCI2014_004,seed_ensemble,Seed ensemble,NLL,9,0.0024095318153299367,-0.001318411691662802,-0.014825853880105025,0.02536545562479923,0.5703125,6,0,3
BNCI2014_004,augmentation,Augmentation,Brier,9,0.004064913500078626,0.0,-0.012984956326521425,0.024874347841674235,0.875,2,5,2
BNCI2014_004,augmentation,Augmentation,accuracy,9,-0.004414682539682542,0.0,-0.019692460317460317,0.00982142857142856,0.625,1,5,3
BNCI2014_004,augmentation,Augmentation,ECE,9,0.003983073408047311,0.0,-0.0019496278463184667,0.012538694806416088,0.625,2,5,2
BNCI2014_004,augmentation,Augmentation,NLL,9,0.009682029162551987,0.0,-0.015858654985096407,0.043749601429154863,0.625,1,5,3
BNCI2014_004,teacher_student_mixture,Teacher/student,Brier,9,-0.0034812725804227135,0.0,-0.012213584839152584,0.001742253692202549,0.875,2,5,2
BNCI2014_004,teacher_student_mixture,Teacher/student,accuracy,9,0.0,0.0,-0.004861111111111106,0.004861111111111106,1.0,2,5,2
BNCI2014_004,teacher_student_mixture,Teacher/student,ECE,9,-0.0046277517316116006,0.0,-0.018074694271794145,0.00791084887690132,0.625,3,5,1
BNCI2014_004,teacher_student_mixture,Teacher/student,NLL,9,-0.010516563489176081,0.0,-0.03455457206024247,0.0030086477538326154,0.875,2,5,2
