dataset,subject,experiment_key,method_label,metric,baseline,candidate,delta
BCI IV-2a,9,teacher_student_mixture,Teacher/student,NLL,0.5969126745237632,0.6218708314045568,0.024958156880793614
BCI IIIa,k3b,seed_ensemble,Seed ensemble,Brier,0.2429618262151219,0.2320124665102226,-0.010949359704899325
BCI IIIa,k6b,seed_ensemble,Seed ensemble,Brier,0.4568025412333761,0.4408743461775132,-0.015928195055862904
BCI IIIa,l1b,seed_ensemble,Seed ensemble,Brier,0.4650966403213356,0.3843264849767187,-0.0807701553446169
BCI IIIa,k3b,seed_ensemble,Seed ensemble,accuracy,0.8412698412698413,0.8412698412698413,0.0
BCI IIIa,k6b,seed_ensemble,Seed ensemble,accuracy,0.7142857142857143,0.7142857142857143,0.0
BCI IIIa,l1b,seed_ensemble,Seed ensemble,accuracy,0.6428571428571429,0.7142857142857143,0.0714285714285714
BCI IIIa,k3b,seed_ensemble,Seed ensemble,ECE,0.0947159161553318,0.1209641157984171,0.026248199643085293
BCI IIIa,k6b,seed_ensemble,Seed ensemble,ECE,0.2084006402897365,0.2474370726323999,0.03903643234266338
BCI IIIa,l1b,seed_ensemble,Seed ensemble,ECE,0.2163731789187419,0.2251998703861253,0.008826691467383407
BCI IIIa,k3b,seed_ensemble,Seed ensemble,NLL,0.4205906574188071,0.4384110332248543,0.01782037580604723
BCI IIIa,k6b,seed_ensemble,Seed ensemble,NLL,0.8211236639631736,0.8045116663668276,-0.016611997596346018
BCI IIIa,l1b,seed_ensemble,Seed ensemble,NLL,0.8829740094460816,0.7186645270847775,-0.16430948236130416
BCI IIIa,k3b,augmentation,Augmentation,Brier,0.2429618262151219,0.2316957011988648,-0.011266125016257122
BCI IIIa,k6b,augmentation,Augmentation,Brier,0.4568025412333761,0.4033880420569031,-0.05341449917647301
BCI IIIa,l1b,augmentation,Augmentation,Brier,0.4650966403213356,0.4286843433830379,-0.03641229693829767
BCI IIIa,k3b,augmentation,Augmentation,accuracy,0.8412698412698413,0.873015873015873,0.031746031746031744
BCI IIIa,k6b,augmentation,Augmentation,accuracy,0.7142857142857143,0.6904761904761905,-0.023809523809523836
BCI IIIa,l1b,augmentation,Augmentation,accuracy,0.6428571428571429,0.7142857142857143,0.0714285714285714
BCI IIIa,k3b,augmentation,Augmentation,ECE,0.0947159161553318,0.10038179639471,0.005665880239378196
BCI IIIa,k6b,augmentation,Augmentation,ECE,0.2084006402897365,0.1305561180322547,-0.07784452225748181
BCI IIIa,l1b,augmentation,Augmentation,ECE,0.2163731789187419,0.3006866646800719,0.08431348576132999
BCI IIIa,k3b,augmentation,Augmentation,NLL,0.4205906574188071,0.9136895220969204,0.49309886467811337
BCI IIIa,k6b,augmentation,Augmentation,NLL,0.8211236639631736,0.7325451405928253,-0.08857852337034833
BCI IIIa,l1b,augmentation,Augmentation,NLL,0.8829740094460816,0.8022229624716581,-0.08075104697442348
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,Brier,0.2429618262151219,0.233369361166267,-0.009592465048854915
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,Brier,0.4568025412333761,0.4050837022619317,-0.051718838971444414
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,Brier,0.4650966403213356,0.4197397206551462,-0.04535691966618938
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,accuracy,0.8412698412698413,0.8412698412698413,0.0
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,accuracy,0.7142857142857143,0.7142857142857143,0.0
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,accuracy,0.6428571428571429,0.7380952380952381,0.09523809523809523
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,ECE,0.0947159161553318,0.0938848474590395,-0.0008310686962923058
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,ECE,0.2084006402897365,0.2591112628004628,0.050710622510726305
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,ECE,0.2163731789187419,0.2059409464155813,-0.010432232503160582
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,NLL,0.4205906574188071,0.3930382345547751,-0.027552422864031978
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,NLL,0.8211236639631736,0.7516459742073645,-0.06947768975580915
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,NLL,0.8829740094460816,0.7593496495189463,-0.12362435992713527
BNCI2014_001,1,seed_ensemble,Seed ensemble,Brier,0.2691424310974397,0.2582311544230593,-0.01091127667438041
BNCI2014_001,2,seed_ensemble,Seed ensemble,Brier,0.7021799019901737,0.7015706039724898,-0.0006092980176838347
BNCI2014_001,3,seed_ensemble,Seed ensemble,Brier,0.1948154950753231,0.2399224152591025,0.0451069201837794
BNCI2014_001,4,seed_ensemble,Seed ensemble,Brier,0.448055951942155,0.4330014029756274,-0.015054548966527581
BNCI2014_001,5,seed_ensemble,Seed ensemble,Brier,0.6967971917129899,0.6844119542160693,-0.012385237496920665
BNCI2014_001,6,seed_ensemble,Seed ensemble,Brier,0.6191650645014087,0.578352182054894,-0.04081288244651471
BNCI2014_001,7,seed_ensemble,Seed ensemble,Brier,0.2887059934926252,0.3393878875691272,0.05068189407650198
BNCI2014_001,8,seed_ensemble,Seed ensemble,Brier,0.2604988545533775,0.2613652017787257,0.0008663472253481741
BNCI2014_001,9,seed_ensemble,Seed ensemble,Brier,0.3059176781853959,0.2938134268827215,-0.012104251302674396
BNCI2014_001,1,seed_ensemble,Seed ensemble,accuracy,0.8055555555555556,0.8125,0.00694444444444442
BNCI2014_001,2,seed_ensemble,Seed ensemble,accuracy,0.4756944444444444,0.46875,-0.00694444444444442
BNCI2014_001,3,seed_ensemble,Seed ensemble,accuracy,0.8645833333333334,0.8298611111111112,-0.03472222222222221
BNCI2014_001,4,seed_ensemble,Seed ensemble,accuracy,0.6736111111111112,0.6875,0.01388888888888884
