dataset,dataset_label,subject,n_classes,experiment_key,experiment,val_accuracy,val_Brier,val_ECE,val_NLL,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,chance_accuracy,chance_Brier,selection_split,eval_labels_used_for_selection,selected_method,mean_heldout_confidence,confidence_source_method,confidence_minus_accuracy,baseline_accuracy,baseline_Brier,baseline_ECE,baseline_NLL,delta_accuracy_vs_baseline,delta_Brier_vs_baseline,delta_ECE_vs_baseline,delta_NLL_vs_baseline,validation_Brier_rank,heldout_Brier_rank,heldout_minus_validation_Brier_rank
BNCI2014_001,BNCI2014_001,9,4,augmentation,best_light_augmentation,0.6041666666666666,0.5058691244079595,0.1909913092525666,0.8893914203360036,0.7881944444444444,0.3270803667766196,0.1275804408371357,0.586254192804044,0.25,0.75,external_validation,False,,0.672636088658316,augmentation,-0.11555835578612839,0.8159722222222222,0.3059176781853959,0.1440362824569283,0.5644810225988702,-0.02777777777777779,0.02116268859122372,-0.016455841619792577,0.021773170205173775,4.0,5.0,1.0
BNCI2014_001,BNCI2014_001,1,4,validation_selected_portfolio,validation_selected_portfolio,0.8541666666666666,0.2310128577047101,0.1534778643205112,0.3949445196531194,0.8298611111111112,0.2452899706012873,0.0820605889414675,0.4141083206586562,0.25,0.75,external_validation,False,teacher_student_mixture,0.8002744469060494,teacher_student_mixture,-0.02958666420506173,0.8055555555555556,0.2691424310974397,0.0652607710843051,0.4897892994929562,0.02430555555555558,-0.02385246049615239,0.016799817857162405,-0.07568097883429997,1.0,1.0,0.0
BNCI2014_001,BNCI2014_001,2,4,validation_selected_portfolio,validation_selected_portfolio,0.6041666666666666,0.4776538025871861,0.1947475325943179,0.8268972260272726,0.46875,0.7229830940289664,0.2249994872370071,1.5563424648145852,0.25,0.75,external_validation,False,augmentation,0.693749486534589,augmentation,0.224999486534589,0.4756944444444444,0.7021799019901737,0.1839904390450046,1.435960180040859,-0.00694444444444442,0.020803192038792773,0.04100904819200252,0.12038228477372614,1.0,4.0,3.0
BNCI2014_001,BNCI2014_001,3,4,validation_selected_portfolio,validation_selected_portfolio,0.8333333333333334,0.2593726227960414,0.1357886714192032,0.4840246552974239,0.8402777777777778,0.2066741943446036,0.0465661723037969,0.3560423959187109,0.25,0.75,external_validation,False,teacher_student_mixture,0.8249839470859829,teacher_student_mixture,-0.015293830691794907,0.8645833333333334,0.1948154950753231,0.0715493142164599,0.3495514024075278,-0.02430555555555558,0.011858699269280515,-0.024983141912662994,0.006490993511183096,1.0,2.0,1.0
BNCI2014_001,BNCI2014_001,4,4,validation_selected_portfolio,validation_selected_portfolio,0.7291666666666666,0.4547849320231947,0.257623819000994,0.7992264408364013,0.6701388888888888,0.4431934876892827,0.0807300810906569,0.7940727855482113,0.25,0.75,external_validation,False,teacher_student_mixture,0.6713769816969823,teacher_student_mixture,0.001238092808093505,0.6736111111111112,0.448055951942155,0.080038781405371,0.8095640151179806,-0.003472222222222321,-0.0048624642528722894,0.0006912996852858899,-0.015491229569769338,1.0,2.0,1.0
BNCI2014_001,BNCI2014_001,5,4,validation_selected_portfolio,validation_selected_portfolio,0.4791666666666667,0.6773955239925019,0.2022120499141194,1.2419154618848676,0.4201388888888889,0.6786258272099587,0.0767927598803967,1.2445771702415018,0.25,0.75,external_validation,False,augmentation,0.4181091809631862,augmentation,-0.002029707925702673,0.3819444444444444,0.6967971917129899,0.0868435252505211,1.276354302334385,0.038194444444444475,-0.01817136450303125,-0.010050765370124393,-0.03177713209288324,1.0,1.0,0.0
BNCI2014_001,BNCI2014_001,6,4,validation_selected_portfolio,validation_selected_portfolio,0.5416666666666666,0.5917290154363971,0.1821494958583488,1.083325331713306,0.5381944444444444,0.578352182054894,0.0872104357132872,1.065626695711588,0.25,0.75,external_validation,False,seed_ensemble,0.5274220683934824,seed_ensemble,-0.01077237605096204,0.5,0.6191650645014087,0.0937385688403907,1.138544201672521,0.03819444444444442,-0.04081288244651471,-0.0065281331271035,-0.07291750596093283,1.0,1.0,0.0
BNCI2014_001,BNCI2014_001,7,4,validation_selected_portfolio,validation_selected_portfolio,0.7083333333333334,0.354663934080037,0.1891005813313098,0.5651465160569876,0.6423611111111112,0.4169180275411544,0.0812719198966137,0.6846021895432196,0.25,0.75,external_validation,False,teacher_student_mixture,0.6720959758280391,teacher_student_mixture,0.02973486471692799,0.8055555555555556,0.2887059934926252,0.0914203031935196,0.4898047402104328,-0.16319444444444442,0.1282120340485292,-0.0101483832969059,0.1947974493327868,1.0,4.0,3.0
BNCI2014_001,BNCI2014_001,8,4,validation_selected_portfolio,validation_selected_portfolio,0.8541666666666666,0.3040007200779875,0.1994740177189016,0.5486578663871636,0.7986111111111112,0.2916043246420517,0.0782859209254777,0.5354868526541676,0.25,0.75,external_validation,False,teacher_student_mixture,0.7406086058575785,teacher_student_mixture,-0.05800250525353268,0.8229166666666666,0.2604988545533775,0.092193472661842,0.4950543717383571,-0.02430555555555547,0.031105470088674203,-0.013907551736364293,0.04043248091581053,1.0,4.0,3.0
BNCI2014_001,BNCI2014_001,9,4,validation_selected_portfolio,validation_selected_portfolio,0.625,0.4863532463886845,0.2324058606777443,0.8486562454581561,0.7951388888888888,0.2938134268827215,0.1098502523564619,0.5350627459334801,0.25,0.75,external_validation,False,seed_ensemble,0.7089879101553644,seed_ensemble,-0.0861509787335244,0.8159722222222222,0.3059176781853959,0.1440362824569283,0.5644810225988702,-0.02083333333333337,-0.012104251302674396,-0.03418603010046639,-0.029418276665390097,1.0,1.0,0.0
BNCI2014_004,BNCI2014_004,1,2,baseline,baseline_ce_cropped_shallow_convnet,0.79375,0.2555779526600902,0.0784314884865655,0.3902885741002561,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.5,0.5,external_validation,False,,0.854812229635397,baseline,0.15168722963539705,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.0,0.0,0.0,0.0,4.0,4.0,0.0
BNCI2014_004,BNCI2014_004,1,2,seed_ensemble,seed_ensemble,0.825,0.2518667332022197,0.0706155531804524,0.3909958620862791,0.721875,0.415516407763303,0.1305323102531572,0.6952109527193107,0.5,0.5,external_validation,False,,0.8511788224019355,seed_ensemble,0.1293038224019355,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.018750000000000044,-0.025036399684767396,-0.028365095121139494,-0.03480052939898792,3.0,3.0,0.0
BNCI2014_004,BNCI2014_004,1,2,teacher_student_mixture,teacher_student_probability_mixing,0.8,0.2421338762807161,0.1341837692090474,0.3827212852108041,0.7125,0.4041076879459899,0.111213050714761,0.6269103120458184,0.5,0.5,external_validation,False,,0.8217871381253901,teacher_student_mixture,0.10928713812539004,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.009375000000000022,-0.036445119502080514,-0.0476843546595357,-0.10310117007248021,1.0,1.0,0.0
BNCI2014_004,BNCI2014_004,1,2,augmentation,best_light_augmentation,0.79375,0.2555779526600902,0.0784314884865655,0.3902885741002561,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.5,0.5,external_validation,False,,0.854812229635397,augmentation,0.15168722963539705,0.703125,0.4405528074480704,0.1588974053742967,0.7300114821182986,0.0,0.0,0.0,0.0,4.0,4.0,0.0
BNCI2014_004,BNCI2014_004,2,2,baseline,baseline_ce_cropped_shallow_convnet,0.55,0.4621606293014301,0.1714211811703206,0.6527970849810774,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,0.5,0.5,external_validation,False,,0.6028522223654749,baseline,0.017137936651189123,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,0.0,0.0,0.0,0.0,3.0,1.0,-2.0
BNCI2014_004,BNCI2014_004,2,2,seed_ensemble,seed_ensemble,0.5875,0.4637694906544318,0.1202743251871062,0.6562035710328861,0.5821428571428572,0.4848598906048749,0.1136564480750169,0.678317391339915,0.5,0.5,external_validation,False,,0.6037328765248889,seed_ensemble,0.021590019382031755,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,-0.0035714285714285587,0.0008932302629338085,0.019277081664023102,0.0010221567677363153,5.0,3.0,-2.0
BNCI2014_004,BNCI2014_004,2,2,teacher_student_mixture,teacher_student_probability_mixing,0.55,0.4621606293014301,0.1714211811703206,0.6527970849810774,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,0.5,0.5,external_validation,False,,0.6028522223654749,teacher_student_mixture,0.017137936651189123,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,0.0,0.0,0.0,0.0,3.0,1.0,-2.0
BNCI2014_004,BNCI2014_004,2,2,augmentation,best_light_augmentation,0.59375,0.4609809711740221,0.1351441938584495,0.6527246438099007,0.5678571428571428,0.4871780547141099,0.1065159605346737,0.6805528188323885,0.5,0.5,external_validation,False,,0.6016185981344975,augmentation,0.033761455277354635,0.5857142857142857,0.4839666603419411,0.0943793664109938,0.6772952345721787,-0.017857142857142905,0.00321139437216883,0.0121365941236799,0.0032575842602098337,1.0,4.0,3.0
BNCI2014_004,BNCI2014_004,3,2,baseline,baseline_ce_cropped_shallow_convnet,0.475,0.5001711589717839,0.1067235526308175,0.6933183438921215,0.534375,0.4999607999456595,0.0840993916071433,0.6931079841022718,0.5,0.5,external_validation,False,,0.501100920884194,baseline,-0.03327407911580604,0.534375,0.4999607999456595,0.0840993916071433,0.6931079841022718,0.0,0.0,0.0,0.0,3.0,4.0,1.0
BNCI2014_004,BNCI2014_004,3,2,seed_ensemble,seed_ensemble,0.5125,0.5002672358478647,0.1449503532332389,0.6934144505106862,0.5375,0.4995671230297464,0.0714835953961313,0.6927142898543195,0.5,0.5,external_validation,False,,0.5017477725606442,seed_ensemble,-0.0357522274393558,0.534375,0.4999607999456595,0.0840993916071433,0.6931079841022718,0.0031249999999999334,-0.0003936769159131326,-0.012615796211011998,-0.0003936942479523253,5.0,3.0,-2.0
