dataset,dataset_key,subject,n_methods,metric,selected_method,oracle_method,selection_correct,heldout_selected,heldout_oracle,regret,spearman_rho,mean_abs_rank_shift,norm_rank_shift,chance_value,norm_regret,regret_fixed__baseline,regret_fixed__seed_ensemble,regret_fixed__teacher_student_mixture,regret_fixed__augmentation,regret_fixed__crop_aggregation,regret_fixed__brier_loss,regret_fixed__calibration_grid,regret_fixed__stronger_teacher,regret_fixed__swa_ema,regret_fixed__calibration_checkpoint,regret_fixed__architecture
BNCI2014_004,BNCI2014_004,2,4,Brier,augmentation,baseline,False,0.4871780547141099,0.4839666603419411,0.00321139437216883,-0.3333333333333334,1.5,0.5,0.5,0.00642278874433766,0.0,0.0008932302629338085,0.0,0.00321139437216883,,,,,,,
BNCI2014_004,BNCI2014_004,3,4,Brier,teacher_student_mixture,teacher_student_mixture,True,0.4979475147058587,0.4979475147058587,0.0,0.3333333333333334,1.0,0.3333333333333333,0.5,0.0,0.0020132852398008216,0.001619608323887689,0.0,0.0020132852398008216,,,,,,,
BNCI2014_004,BNCI2014_004,4,4,Brier,augmentation,seed_ensemble,False,0.0546282140246453,0.0545870983764315,4.111564821380337e-05,0.6000000000000001,1.0,0.3333333333333333,0.5,8.223129642760674e-05,0.0002727424014244001,0.0,0.005973313725832201,4.111564821380337e-05,,,,,,,
BNCI2014_004,BNCI2014_004,5,4,Brier,augmentation,baseline,False,0.2173090267127623,0.1436792390607257,0.07362978765203662,-0.39999999999999997,1.5,0.5,0.5,0.14725957530407324,0.0,0.05212243491391971,0.0014263801936691134,0.07362978765203662,,,,,,,
BNCI2014_004,BNCI2014_004,6,4,Brier,augmentation,augmentation,True,0.2186941639895748,0.2186941639895748,0.0,1.0,0.0,0.0,0.5,0.0,0.04002533377028722,0.02484014597387879,0.04002533377028722,0.0,,,,,,,
BNCI2014_004,BNCI2014_004,7,4,Brier,baseline,seed_ensemble,False,0.3045804933847743,0.3018613519238667,0.0027191414609075704,-1.0,1.5,0.5,0.5,0.005438282921815141,0.0027191414609075704,0.0,0.0027191414609075704,0.0027191414609075704,,,,,,,
BNCI2014_004,BNCI2014_004,8,4,Brier,seed_ensemble,baseline,False,0.1560667462377187,0.1432685235793181,0.01279822265840061,-1.0,1.5,0.5,0.5,0.02559644531680122,0.0,0.01279822265840061,0.0,0.0,,,,,,,
BNCI2014_004,BNCI2014_004,9,4,Brier,seed_ensemble,seed_ensemble,True,0.155383316958224,0.155383316958224,0.0,1.0,0.0,0.0,0.5,0.0,0.011256361896099493,0.0,0.011256361896099493,0.011256361896099493,,,,,,,
BCI IV-2a,bci4_2a,1,11,Brier,architecture,seed_ensemble,False,0.2576499892256054,0.2364535324749427,0.0211964567506627,0.6090909090909091,2.1818181818181817,0.21818181818181817,0.75,0.028261942334216934,0.0397942318619309,0.0,0.007751860194982918,0.034314617817365306,0.03408138540994629,0.03923888727649591,0.053748869111370084,0.10917122564021689,0.04674416140851681,0.049419999531007036,0.0211964567506627
BCI IV-2a,bci4_2a,2,11,Brier,augmentation,seed_ensemble,False,0.6160447820402373,0.5653349724344872,0.05070980960575011,-0.004566210045662101,3.8181818181818183,0.38181818181818183,0.75,0.06761307947433348,0.0417037787622736,0.0,0.04379119621097871,0.05070980960575011,0.028913146081964936,0.028610313252998787,0.0642040345550201,0.13352349089133964,0.0417037787622736,0.04391517457327054,0.03700824788092216
