arm,n,draws,detection_rate,median_p,attainable_p_floor,floor_permits_alpha
CBraMod fine-tuned,50,4000,1.0,4.0810732571117114e-10,1.7763568394002505e-15,True
CBraMod fine-tuned,51,4000,1.0,2.573656843196659e-10,8.881784197001252e-16,True
CBraMod fine-tuned,52,4000,1.0,2.0232171493717033e-10,4.440892098500626e-16,True
CBraMod fine-tuned,53,4000,1.0,1.757820019459717e-08,2.220446049250313e-16,True
CBraMod fine-tuned,54,1,1.0,1.1242248339580229e-08,1.1102230246251565e-16,True
CBraMod pooled LOSO,3,4000,0.0,0.25,0.25,False
CBraMod pooled LOSO,4,4000,0.0,0.25,0.125,False
CBraMod pooled LOSO,5,4000,0.0,0.125,0.0625,False
CBraMod pooled LOSO,6,4000,0.30975,0.0625,0.03125,True
CBraMod pooled LOSO,7,4000,0.54525,0.046875,0.015625,True
CBraMod pooled LOSO,8,4000,0.633,0.03125,0.0078125,True
CBraMod pooled LOSO,9,4000,0.69475,0.01953125,0.00390625,True
CBraMod pooled LOSO,10,4000,0.778,0.013671875,0.001953125,True
CBraMod pooled LOSO,11,4000,0.84275,0.009765625,0.0009765625,True
CBraMod pooled LOSO,12,4000,0.88575,0.0068359375,0.00048828125,True
CBraMod pooled LOSO,13,4000,0.92075,0.0048828125,0.000244140625,True
CBraMod pooled LOSO,14,4000,0.95675,0.00341796875,0.0001220703125,True
CBraMod pooled LOSO,15,4000,0.97025,0.00244140625,6.103515625e-05,True
CBraMod pooled LOSO,16,4000,0.97975,0.001678466796875,3.0517578125e-05,True
CBraMod pooled LOSO,17,4000,0.99275,0.001068115234375,1.52587890625e-05,True
CBraMod pooled LOSO,18,4000,0.9945,0.0008392333984375,7.62939453125e-06,True
CBraMod pooled LOSO,19,4000,0.9965,0.000522613525390625,3.814697265625e-06,True
CBraMod pooled LOSO,20,4000,0.998,0.000335693359375,1.9073486328125e-06,True
CBraMod pooled LOSO,21,4000,1.0,0.0002613067626953125,9.5367431640625e-07,True
CBraMod pooled LOSO,22,4000,0.99975,0.00016450881958007812,4.76837158203125e-07,True
CBraMod pooled LOSO,23,4000,1.0,0.0001277923583984375,2.384185791015625e-07,True
CBraMod pooled LOSO,24,4000,1.0,8.845329284667969e-05,1.1920928955078125e-07,True
CBraMod pooled LOSO,25,4000,1.0,6.365776062011719e-05,5.960464477539063e-08,True
CBraMod pooled LOSO,26,4000,1.0,4.5418739318847656e-05,2.9802322387695312e-08,True
CBraMod pooled LOSO,27,4000,1.0,3.185868263244629e-05,1.4901161193847656e-08,True
CBraMod pooled LOSO,28,4000,1.0,2.2083520889282227e-05,7.450580596923828e-09,True
CBraMod pooled LOSO,29,4000,1.0,1.5139579772949219e-05,3.725290298461914e-09,True
CBraMod pooled LOSO,30,4000,1.0,1.1928379535675049e-05,1.862645149230957e-09,True
CBraMod pooled LOSO,31,4000,1.0,9.220093488693237e-06,9.313225746154785e-10,True
CBraMod pooled LOSO,32,4000,1.0,5.974899977445602e-06,4.656612873077393e-10,True
CBraMod pooled LOSO,33,4000,1.0,4.021450877189636e-06,2.3283064365386963e-10,True
CBraMod pooled LOSO,34,4000,1.0,2.6635825634002686e-06,1.1641532182693481e-10,True
