fm,reference,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
labram_frozen_p2,atcnet_broadband_tuned,ECE,9,0.09223368120480993,0.0745345200220473,0.017699161182762616,3,0.203125,0.00390625,0.2472826086956522
labram_frozen_p2,eegconformer_narrowband_tuned,ECE,9,0.09223368120480993,0.07441345211817953,0.01782022908663039,3,0.203125,0.00390625,0.2472826086956522
labram_frozen_p2,shallow_convnet_broadband,ECE,9,0.09223368120480993,0.07341050971098356,0.018823171493826365,3,0.203125,0.00390625,0.2472826086956522
labram_frozen_p2,shallow_convnet_narrowband_tuned,ECE,9,0.09223368120480993,0.07327586887995394,0.01895781232485599,2,0.203125,0.00390625,0.2472826086956522
cbramod_finetune_sel,baseline,ECE,9,0.07641144302260432,0.06693007664252407,0.009481366380080243,2,0.25,0.00390625,0.2985781990521327
cbramod_loso,atcnet_broadband_tuned,ECE,9,0.10889294635008635,0.0745345200220473,0.034358426328039066,3,0.25,0.00390625,0.2985781990521327
labram_loso,atcnet_broadband_tuned,ECE,9,0.10358399392871674,0.0745345200220473,0.029049473906669437,3,0.25,0.00390625,0.2985781990521327
labram_loso,shallow_convnet_narrowband_tuned,ECE,9,0.10358399392871674,0.07327586887995394,0.030308125048762808,3,0.25,0.00390625,0.2985781990521327
cbramod_frozen_p2,atcnet_narrowband_tuned,ECE,9,0.09975804312426574,0.07546427749103785,0.02429376563322789,3,0.30078125,0.00390625,0.357532429245283
cbramod_finetune_sel,seed_ensemble,ECE,9,0.07641144302260432,0.062077459469292245,0.014333983553312064,2,0.359375,0.00390625,0.42122093023255813
labram_frozen_p2,atcnet_narrowband_tuned,ECE,9,0.09223368120480993,0.07546427749103785,0.016769403713772075,3,0.359375,0.00390625,0.42122093023255813
cbramod_finetune_sel,shallow_convnet_narrowband_tuned,ECE,9,0.07641144302260432,0.07327586887995394,0.003135574142650378,4,0.42578125,0.00390625,0.49445564516129037
cbramod_frozen_p4,eegconformer_broadband_tuned,ECE,9,0.10649387625933501,0.09429805661836164,0.012195819640973379,3,0.5703125,0.00390625,0.6532670454545455
cbramod_finetune_sel,shallow_convnet_broadband_tuned,ECE,9,0.07641144302260432,0.06918488944770784,0.00722655357489648,4,0.65234375,0.00390625,0.7404983108108107
cbramod_finetune_sel,atcnet_broadband_tuned,ECE,9,0.07641144302260432,0.0745345200220473,0.0018769230005570023,3,0.734375,0.00390625,0.8011363636363635
cbramod_finetune_sel,eegconformer_broadband_tuned,ECE,9,0.07641144302260432,0.09429805661836164,-0.01788661359575733,5,0.734375,0.00390625,0.8011363636363635
cbramod_frozen_p2,eegconformer_broadband_tuned,ECE,9,0.09975804312426574,0.09429805661836164,0.0054599865059040895,4,0.734375,0.00390625,0.8011363636363635
cbramod_loso,eegconformer_broadband_tuned,ECE,9,0.10889294635008635,0.09429805661836164,0.014594889731724724,3,0.734375,0.00390625,0.8011363636363635
labram_frozen_p4,eegconformer_broadband_tuned,ECE,9,0.10132153911133758,0.09429805661836164,0.007023482492975943,3,0.734375,0.00390625,0.8011363636363635
labram_loso,eegconformer_broadband_tuned,ECE,9,0.10358399392871674,0.09429805661836164,0.009285937310355099,4,0.734375,0.00390625,0.8011363636363635
cbramod_finetune_sel,eegconformer_narrowband_tuned,ECE,9,0.07641144302260432,0.07441345211817953,0.0019979909044247784,4,0.8203125,0.00390625,0.8649320083682009
cbramod_finetune_sel,shallow_convnet_broadband,ECE,9,0.07641144302260432,0.07341050971098356,0.0030009333116207543,3,0.8203125,0.00390625,0.8649320083682009
labram_frozen_p2,eegconformer_broadband_tuned,ECE,9,0.09223368120480993,0.09429805661836164,-0.0020643754135517226,4,0.8203125,0.00390625,0.8649320083682009
cbramod_finetune_sel,atcnet_narrowband_tuned,ECE,9,0.07641144302260432,0.07546427749103785,0.0009471655315664665,4,0.91015625,0.00390625,0.9438657407407407
cbramod_loso,shallow_convnet_broadband,NLL,9,0.6632025155968749,0.39057138403309355,0.2726311315637813,0,0.00390625,0.00390625,0.01348458904109589
cbramod_loso,shallow_convnet_broadband_tuned,NLL,9,0.6632025155968749,0.3945662934699822,0.26863622212689264,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p2,seed_ensemble,NLL,9,0.6860920069577037,0.427631847628555,0.2584601593291487,0,0.00390625,0.00390625,0.01348458904109589
labram_frozen_p4,shallow_convnet_broadband,NLL,9,0.6742659513241914,0.39057138403309355,0.2836945672910978,0,0.00390625,0.00390625,0.01348458904109589
