fm,reference,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
labram_loso,shallow_convnet_broadband_ica_tuned,Brier,9,0.7463556693441223,0.4715747865699655,0.2747808827741568,0,0.00390625,0.00390625,0.009963768115942028
labram_loso,shallow_convnet_broadband_tuned,Brier,9,0.7463556693441223,0.5060592205940803,0.24029644875004216,0,0.00390625,0.00390625,0.009963768115942028
cbramod_finetune_sel,baseline,Brier,9,0.649258199208129,0.40472125644578316,0.24453694276234586,1,0.0078125,0.00390625,0.015363128491620111
cbramod_finetune_sel,seed_ensemble,Brier,9,0.649258199208129,0.38519287999438295,0.264065319213746,1,0.0078125,0.00390625,0.015363128491620111
cbramod_finetune_sel,shallow_convnet_broadband_ica_tuned,Brier,9,0.649258199208129,0.4715747865699655,0.17768341263816345,1,0.0078125,0.00390625,0.015363128491620111
cbramod_frozen_p4,atcnet_narrowband_retune_tuned,Brier,9,0.7293433980050197,0.5408544510329671,0.1884889469720526,1,0.0078125,0.00390625,0.015363128491620111
cbramod_frozen_p4,atcnet_narrowband_tuned,Brier,9,0.7293433980050197,0.551639145011202,0.17770425299381765,1,0.0078125,0.00390625,0.015363128491620111
cbramod_loso,eegconformer_broadband_tuned,Brier,9,0.7180968247854236,0.5857874714424159,0.13230935334300759,1,0.0078125,0.00390625,0.015363128491620111
cbramod_loso,shallow_convnet_broadband_tuned,Brier,9,0.7180968247854236,0.5060592205940803,0.21203760419134332,1,0.0078125,0.00390625,0.015363128491620111
labram_finetune_sel,eegconformer_broadband_tuned,Brier,9,0.7323514279289522,0.5857874714424159,0.1465639564865363,1,0.0078125,0.00390625,0.015363128491620111
labram_frozen_p2,eegconformer_broadband_tuned,Brier,9,0.7322879363977352,0.5857874714424159,0.1465004649553191,1,0.0078125,0.00390625,0.015363128491620111
labram_frozen_p4,eegconformer_broadband_tuned,Brier,9,0.739987032086383,0.5857874714424159,0.15419956064396695,1,0.0078125,0.00390625,0.015363128491620111
labram_loso,eegconformer_broadband_tuned,Brier,9,0.7463556693441223,0.5857874714424159,0.1605681979017064,1,0.0078125,0.00390625,0.015363128491620111
