dataset,arch,variant,baseline_narrowband,baseline_broadband,foundation_model,n,acc_narrowband,acc_broadband,acc_fm,total_gap,band_gap,model_gap,pipeline_effect,band_share,model_share,band_p_raw,model_p_raw,band_wins,model_wins,p_floor,shares_meaningful,band_p_bh,model_p_bh
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_frozen_p2,9,0.7970238095238096,0.8457837301587302,0.6180059523809524,0.17901785714285717,-0.048759920634920614,0.22777777777777775,helps,-0.2723746190080353,1.2723746190080352,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_frozen_p4,9,0.7970238095238096,0.8457837301587302,0.6263392857142858,0.17068452380952384,-0.048759920634920614,0.21944444444444444,helps,-0.2856727695437371,1.285672769543737,0.65234375,0.00390625,4/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_finetune_sel,9,0.7970238095238096,0.8457837301587302,0.8084821428571429,-0.011458333333333336,-0.048759920634920614,0.03730158730158728,helps,,,0.65234375,0.07421875,4/9,7/9,0.00390625,False,0.6671697443181818,0.1363201530612245
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_loso,9,0.7975694444444444,0.7981150793650793,0.5358630952380952,0.26170634920634916,-0.0005456349206349002,0.2622519841269841,helps,-0.002084912812736844,1.002084912812737,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_frozen_p2,9,0.7975694444444444,0.7981150793650793,0.5453373015873015,0.25223214285714285,-0.0005456349206349002,0.25277777777777777,helps,-0.0021632251720746483,1.0021632251720747,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_frozen_p4,9,0.7975694444444444,0.7981150793650793,0.5476190476190477,0.24995039682539685,-0.0005456349206349002,0.25049603174603174,helps,-0.002182972812065804,1.0021829728120657,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_loso,9,0.7975694444444444,0.7981150793650793,0.6020833333333333,0.1954861111111111,-0.0005456349206349002,0.19603174603174603,helps,-0.0027911697538694717,1.0027911697538696,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_frozen_p2,9,0.7975694444444444,0.7981150793650793,0.6180059523809524,0.1795634920634921,-0.0005456349206349002,0.18010912698412695,helps,-0.0030386740331490567,1.003038674033149,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_frozen_p4,9,0.7975694444444444,0.7981150793650793,0.6263392857142858,0.17123015873015873,-0.0005456349206349002,0.17177579365079365,helps,-0.003186558516801734,1.0031865585168018,0.65234375,0.00390625,6/9,9/9,0.00390625,True,0.6671697443181818,0.01171875
bnci2014_004,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_finetune_sel,9,0.7975694444444444,0.7981150793650793,0.8084821428571429,-0.01091269841269841,-0.0005456349206349002,-0.01036706349206351,helps,,,0.65234375,0.8203125,6/9,5/9,0.00390625,False,0.6671697443181818,0.8203125
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,labram_loso,9,0.783531746031746,0.8184523809523809,0.5358630952380952,0.24766865079365077,-0.034920634920634935,0.2825892857142857,helps,-0.14099739635489691,1.140997396354897,0.09765625,0.00390625,3/9,9/9,0.00390625,True,0.15419407894736842,0.01171875
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,labram_frozen_p2,9,0.783531746031746,0.8184523809523809,0.5453373015873015,0.23819444444444443,-0.034920634920634935,0.2731150793650794,helps,-0.14660558100791343,1.1466055810079137,0.09765625,0.00390625,3/9,9/9,0.00390625,True,0.15419407894736842,0.01171875
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,labram_frozen_p4,9,0.783531746031746,0.8184523809523809,0.5476190476190477,0.23591269841269843,-0.034920634920634935,0.2708333333333333,helps,-0.1480235492010093,1.1480235492010091,0.09765625,0.00390625,3/9,9/9,0.00390625,True,0.15419407894736842,0.01171875
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_loso,9,0.783531746031746,0.8184523809523809,0.6020833333333333,0.1814484126984127,-0.034920634920634935,0.21636904761904763,helps,-0.19245489338436314,1.192454893384363,0.09765625,0.00390625,3/9,9/9,0.00390625,True,0.15419407894736842,0.01171875
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_frozen_p2,9,0.783531746031746,0.8184523809523809,0.6180059523809524,0.16552579365079365,-0.034920634920634935,0.20044642857142858,helps,-0.21096793527120178,1.2109679352712017,0.09765625,0.0078125,3/9,8/9,0.00390625,True,0.15419407894736842,0.01953125
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_frozen_p4,9,0.783531746031746,0.8184523809523809,0.6263392857142858,0.15719246031746031,-0.034920634920634935,0.19211309523809528,helps,-0.222152098453771,1.2221520984537713,0.09765625,0.0078125,3/9,8/9,0.00390625,True,0.15419407894736842,0.01953125
bnci2014_004,shallow_convnet,base,shallow_convnet_narrowband_tuned,shallow_convnet_broadband_tuned,cbramod_finetune_sel,9,0.783531746031746,0.8184523809523809,0.8084821428571429,-0.02495039682539684,-0.034920634920634935,0.009970238095238091,helps,,,0.09765625,0.8203125,3/9,6/9,0.00390625,False,0.15419407894736842,0.8203125
