dataset,method,method_label,target_coverage,n_subjects,heldout_coverage_mean,heldout_coverage_std,heldout_selective_accuracy_mean,heldout_selective_accuracy_std,heldout_risk_mean,heldout_risk_std,heldout_n_covered_sum,eval_labels_used_for_threshold
BCI IIIa,teacher_student_mixture,Teacher/student,0.9,3,0.8412698412698413,0.05939138709164988,0.8086013645224172,0.09519045279816025,0.19139863547758285,0.09519045279816025,122,False
BCI IIIa,validation_selected_portfolio,Portfolio,0.9,3,0.8333333333333334,0.019440394783993453,0.805073140367258,0.08478881641549034,0.194926859632742,0.08478881641549037,122,False
BCI IV-2a,architecture,architecture,0.4,9,0.3967452300785634,0.13058185121415808,0.8792255480051577,0.1069402859165802,0.12077445199484226,0.1069402859165802,1015,False
BCI IV-2a,augmentation,Augmentation,0.4,9,0.43546576879910215,0.1385200623222444,0.8667935062429337,0.12068894384437895,0.13320649375706634,0.12068894384437898,1113,False
BCI IV-2a,baseline,Baseline,0.4,9,0.40365460157126815,0.11476997404943345,0.858552835591549,0.1161390087040453,0.1414471644084509,0.11613900870404531,1033,False
BCI IV-2a,brier_loss,brier_loss,0.4,9,0.401374859708193,0.11313420887442016,0.8645295399070667,0.10324706925085624,0.1354704600929332,0.10324706925085625,1027,False
BCI IV-2a,calibration_checkpoint,calibration_checkpoint,0.4,9,0.3869949494949495,0.10514275446615766,0.8635601315281511,0.1035185279102352,0.13643986847184897,0.10351852791023519,990,False
BCI IV-2a,calibration_grid,calibration_grid,0.4,9,0.4060044893378227,0.10221704763712604,0.8361711556772201,0.11658488426299264,0.16382884432278,0.11658488426299266,1040,False
BCI IV-2a,crop_aggregation,crop_aggregation,0.4,9,0.3995510662177329,0.10733125524761052,0.853644020206644,0.10927764351283548,0.14635597979335604,0.10927764351283546,1025,False
BCI IV-2a,seed_ensemble,Seed ensemble,0.4,9,0.4221380471380471,0.12655427175975845,0.8695972320854409,0.11455097601768637,0.13040276791455913,0.11455097601768637,1080,False
BCI IV-2a,stronger_teacher,stronger_teacher,0.4,9,0.40625,0.366132437931446,0.5698719336177713,0.274360669518968,0.43012806638222867,0.274360669518968,1053,False
BCI IV-2a,swa_ema,swa_ema,0.4,9,0.4212612233445567,0.11264091122791779,0.8455351025179418,0.12067240273971745,0.15446489748205805,0.12067240273971745,1077,False
BCI IV-2a,teacher_student_mixture,Teacher/student,0.4,9,0.2935255331088664,0.14980145876472614,0.8913717360544064,0.09263421580194664,0.10862826394559358,0.09263421580194664,750,False
BCI IV-2a,validation_selected_portfolio,Portfolio,0.4,9,0.37584175084175087,0.19238760565265375,0.8653202575906944,0.13021401422941106,0.1346797424093057,0.13021401422941106,960,False
BCI IV-2a,architecture,architecture,0.6,9,0.5683922558922558,0.1302522733906818,0.8204032094160626,0.13502550031822036,0.17959679058393732,0.13502550031822036,1454,False
BCI IV-2a,augmentation,Augmentation,0.6,9,0.6045173961840629,0.14408257146664766,0.8236341050771707,0.13872289251091616,0.1763658949228293,0.13872289251091613,1547,False
BCI IV-2a,baseline,Baseline,0.6,9,0.6004489337822672,0.13841545625212393,0.807893790573922,0.13236216702626957,0.19210620942607814,0.13236216702626957,1537,False
BCI IV-2a,brier_loss,brier_loss,0.6,9,0.5881383277216611,0.12997052585632926,0.8112272825956539,0.12774710323971175,0.188772717404346,0.12774710323971175,1505,False
BCI IV-2a,calibration_checkpoint,calibration_checkpoint,0.6,9,0.5764590347923682,0.14029448124555471,0.8135231193569549,0.12895633102937298,0.18647688064304527,0.12895633102937293,1476,False
BCI IV-2a,calibration_grid,calibration_grid,0.6,9,0.6038860830527497,0.10542933959987706,0.7895377585393862,0.13336809670987573,0.21046224146061374,0.13336809670987573,1547,False
BCI IV-2a,crop_aggregation,crop_aggregation,0.6,9,0.5957491582491582,0.12807991783879327,0.807076898242291,0.12480953561245225,0.19292310175770905,0.12480953561245224,1524,False
BCI IV-2a,seed_ensemble,Seed ensemble,0.6,9,0.619212962962963,0.13625983937742073,0.8061739695453534,0.13305184068494363,0.19382603045464658,0.13305184068494363,1586,False
BCI IV-2a,stronger_teacher,stronger_teacher,0.6,9,0.496597923681257,0.3577252538164629,0.6613503192581348,0.2883431056057277,0.3386496807418652,0.28834310560572773,1286,False
BCI IV-2a,swa_ema,swa_ema,0.6,9,0.5864197530864197,0.13320189923939357,0.8044110303859121,0.13462780865617477,0.1955889696140878,0.13462780865617477,1501,False
BCI IV-2a,teacher_student_mixture,Teacher/student,0.6,9,0.4679783950617284,0.2057893660151415,0.842573804251645,0.10926342382192727,0.157426195748355,0.10926342382192727,1194,False
BCI IV-2a,validation_selected_portfolio,Portfolio,0.6,9,0.5497685185185186,0.22206543465887074,0.8222474164077567,0.1387454738513063,0.17775258359224336,0.1387454738513063,1406,False
