dataset,subject,method,method_label,target_coverage,threshold,threshold_source,threshold_selection_split,eval_labels_used_for_threshold,heldout_curve_type,val_coverage,val_selective_accuracy,val_risk,heldout_coverage,heldout_selective_accuracy,heldout_risk,heldout_n_covered,heldout_accuracy_all,mean_val_confidence,mean_heldout_confidence,source_file
BCI IIIa,k6b,baseline,Baseline,0.4,0.4571304670400597,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.5,0.5,0.47619047619047616,0.85,0.15,20,0.7142857142857143,0.49080161234964315,0.52079141988881,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,baseline,Baseline,0.6,0.4354012535538314,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.4444444444444444,0.5555555555555556,0.5238095238095238,0.8636363636363636,0.13636363636363635,22,0.7142857142857143,0.49080161234964315,0.52079141988881,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,baseline,Baseline,0.8,0.39217221809955727,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5,0.5,0.7142857142857143,0.7666666666666667,0.23333333333333334,30,0.7142857142857143,0.49080161234964315,0.52079141988881,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,baseline,Baseline,0.9,0.3393135146643262,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.42857142857142855,0.5714285714285714,0.9523809523809523,0.725,0.275,40,0.7142857142857143,0.49080161234964315,0.52079141988881,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,seed_ensemble,Seed ensemble,0.4,0.44519232708530887,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.6666666666666666,0.3333333333333333,0.5238095238095238,0.8636363636363636,0.13636363636363635,22,0.7142857142857143,0.48119366672912084,0.5309129612004888,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,seed_ensemble,Seed ensemble,0.6,0.4052227124377239,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.4444444444444444,0.5555555555555556,0.5714285714285714,0.7916666666666666,0.20833333333333334,24,0.7142857142857143,0.48119366672912084,0.5309129612004888,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,seed_ensemble,Seed ensemble,0.8,0.37805429100990295,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5,0.5,0.7619047619047619,0.75,0.25,32,0.7142857142857143,0.48119366672912084,0.5309129612004888,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,seed_ensemble,Seed ensemble,0.9,0.34214873014033254,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.42857142857142855,0.5714285714285714,0.9523809523809523,0.725,0.275,40,0.7142857142857143,0.48119366672912084,0.5309129612004888,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,0.4,0.5866037672751073,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.8333333333333334,0.16666666666666666,0.40476190476190477,1.0,0.0,17,0.7142857142857143,0.5369833465619129,0.579114519830684,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,0.6,0.45414290678022257,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.14285714285714285,28,0.7142857142857143,0.5369833465619129,0.579114519830684,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
