dataset,subject,experiment_key,AUROC,accuracy
bci4_2a,2,labram_frozen_randinit_p4,0.5329378858024691,0.3090277777777778
bci4_2a,3,labram_frozen_randinit_p4,0.5688014403292181,0.3368055555555556
bci4_2a,4,labram_frozen_randinit_p4,0.5938143004115227,0.3298611111111111
bci4_2a,5,labram_frozen_randinit_p4,0.5512795781893005,0.2743055555555556
bci4_2a,6,labram_frozen_randinit_p4,0.5575970936213992,0.2847222222222222
bci4_2a,7,labram_frozen_randinit_p4,0.5781089248971194,0.3159722222222222
bci4_2a,8,labram_frozen_randinit_p4,0.5324074074074074,0.2708333333333333
bci4_2a,9,labram_frozen_randinit_p4,0.5518743569958848,0.28125
bnci2014_004,1,cbramod_frozen_p2,0.584453125,0.578125
bnci2014_004,2,cbramod_frozen_p2,0.5302551020408164,0.49642857142857144
bnci2014_004,3,cbramod_frozen_p2,0.8705078124999999,0.78125
bnci2014_004,4,cbramod_frozen_p2,0.7352734375,0.653125
bnci2014_004,5,cbramod_frozen_p2,0.8371875,0.75
bnci2014_004,6,cbramod_frozen_p2,0.4986328125,0.490625
bnci2014_004,7,cbramod_frozen_p2,0.7616406249999998,0.7
bnci2014_004,8,cbramod_frozen_p2,0.61890625,0.578125
bnci2014_004,9,cbramod_frozen_p2,0.5526171875,0.534375
bnci2014_004,1,cbramod_frozen_p4,0.52234375,0.54375
bnci2014_004,2,cbramod_frozen_p4,0.5116326530612245,0.5214285714285715
bnci2014_004,3,cbramod_frozen_p4,0.8405078125000001,0.746875
bnci2014_004,4,cbramod_frozen_p4,0.8230078125,0.7125
bnci2014_004,5,cbramod_frozen_p4,0.7413671875,0.6875
bnci2014_004,6,cbramod_frozen_p4,0.49214843750000004,0.5
bnci2014_004,7,cbramod_frozen_p4,0.7857031250000001,0.7125
bnci2014_004,8,cbramod_frozen_p4,0.664609375,0.621875
bnci2014_004,9,cbramod_frozen_p4,0.6680078125000001,0.590625
bnci2014_004,1,cbramod_frozen_randinit_p2,0.5870312500000001,0.553125
bnci2014_004,2,cbramod_frozen_randinit_p2,0.6389795918367348,0.6
bnci2014_004,3,cbramod_frozen_randinit_p2,0.7458203125,0.665625
bnci2014_004,4,cbramod_frozen_randinit_p2,0.7393359374999999,0.684375
bnci2014_004,5,cbramod_frozen_randinit_p2,0.5516015625,0.546875
bnci2014_004,6,cbramod_frozen_randinit_p2,0.6141796875,0.59375
bnci2014_004,7,cbramod_frozen_randinit_p2,0.8844140625,0.803125
bnci2014_004,8,cbramod_frozen_randinit_p2,0.7598828125,0.7
bnci2014_004,9,cbramod_frozen_randinit_p2,0.5505859375,0.5625
bnci2014_004,1,cbramod_frozen_randinit_p4,0.595234375,0.584375
bnci2014_004,2,cbramod_frozen_randinit_p4,0.5106122448979592,0.5142857142857142
bnci2014_004,3,cbramod_frozen_randinit_p4,0.6922656250000001,0.6375
bnci2014_004,4,cbramod_frozen_randinit_p4,0.7238671875,0.6625
bnci2014_004,5,cbramod_frozen_randinit_p4,0.5021875,0.49375
bnci2014_004,6,cbramod_frozen_randinit_p4,0.5858203125,0.559375
bnci2014_004,7,cbramod_frozen_randinit_p4,0.8364453124999999,0.74375
bnci2014_004,8,cbramod_frozen_randinit_p4,0.7622656250000001,0.696875
bnci2014_004,9,cbramod_frozen_randinit_p4,0.506328125,0.503125
bnci2014_004,1,labram_frozen_p2,0.501796875,0.5125
bnci2014_004,2,labram_frozen_p2,0.5053061224489795,0.48928571428571427
bnci2014_004,3,labram_frozen_p2,0.4915234375,0.471875
bnci2014_004,4,labram_frozen_p2,0.569375,0.565625
bnci2014_004,5,labram_frozen_p2,0.6009375,0.5625
bnci2014_004,6,labram_frozen_p2,0.48964843750000003,0.496875
bnci2014_004,7,labram_frozen_p2,0.5897265625,0.578125
bnci2014_004,8,labram_frozen_p2,0.7126953125,0.65
bnci2014_004,9,labram_frozen_p2,0.605546875,0.58125
bnci2014_004,1,labram_frozen_p4,0.42328125,0.478125
bnci2014_004,2,labram_frozen_p4,0.5264795918367348,0.5035714285714286
bnci2014_004,3,labram_frozen_p4,0.5001953124999999,0.490625
bnci2014_004,4,labram_frozen_p4,0.738046875,0.671875
